Macrotrends Data Download

NASDAQ Composite - 45 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1971-02-01,639.35,101.340
1971-03-01,666.87,105.970
1971-04-01,704.91,112.300
1971-05-01,676.13,108.250
1971-06-01,668.36,107.800
1971-07-01,651.09,105.270
1971-08-01,668.84,108.420
1971-09-01,672.61,109.030
1971-10-01,646.79,105.100
1971-11-01,639.83,103.970
1971-12-01,698.87,114.120
1972-01-01,727.96,118.870
1972-02-01,764.19,125.380
1972-03-01,779.09,128.140
1972-04-01,796.52,131.330
1972-05-01,801.94,132.530
1972-06-01,785.16,130.080
1972-07-01,767.39,127.750
1972-08-01,778.79,129.950
1972-09-01,774.94,129.610
1972-10-01,775.06,130.240
1972-11-01,789.38,132.960
1972-12-01,792.08,133.730
1973-01-01,758.72,128.400
1973-02-01,706.45,120.410
1973-03-01,682.79,117.460
1973-04-01,622.62,107.850
1973-05-01,588.54,102.640
1973-06-01,575.08,100.980
1973-07-01,617.29,108.640
1973-08-01,585.28,104.870
1973-09-01,619.27,111.200
1973-10-01,608.14,110.170
1973-11-01,512.81,93.510
1973-12-01,502.25,92.190
1974-01-01,512.81,94.930
1974-02-01,503.17,94.350
1974-03-01,485.89,92.270
1974-04-01,455.49,86.860
1974-05-01,415.36,80.200
1974-06-01,390.21,75.960
1974-07-01,356.60,69.990
1974-08-01,313.97,62.370
1974-09-01,276.96,55.670
1974-10-01,321.32,65.230
1974-11-01,307.70,62.950
1974-12-01,290.13,59.820
1975-01-01,337.11,69.780
1975-02-01,350.04,73.000
1975-03-01,361.35,75.660
1975-04-01,373.69,78.540
1975-05-01,393.15,83.100
1975-06-01,408.65,87.020
1975-07-01,386.33,83.190
1975-08-01,366.29,79.010
1975-09-01,342.66,74.330
1975-10-01,353.00,76.990
1975-11-01,358.70,78.800
1975-12-01,352.01,77.620
1976-01-01,394.08,87.050
1976-02-01,407.16,90.260
1976-03-01,408.06,90.620
1976-04-01,404.19,90.080
1976-05-01,392.22,88.040
1976-06-01,400.30,90.320
1976-07-01,402.41,91.290
1976-08-01,393.33,89.700
1976-09-01,398.81,91.260
1976-10-01,392.75,90.350
1976-11-01,395.46,91.120
1976-12-01,423.33,97.880
1977-01-01,411.11,95.540
1977-02-01,402.77,94.570
1977-03-01,398.17,94.130
1977-04-01,400.54,95.480
1977-05-01,398.99,95.590
1977-06-01,413.58,99.730
1977-07-01,415.28,100.650
1977-08-01,411.71,100.100
1977-09-01,413.49,100.850
1977-10-01,398.47,97.520
1977-11-01,419.41,103.150
1977-12-01,425.77,105.050
1978-01-01,406.08,100.840
1978-02-01,406.08,101.470
1978-03-01,421.61,106.200
1978-04-01,453.69,115.180
1978-05-01,469.30,120.240
1978-06-01,464.48,120.300
1978-07-01,483.93,126.320
1978-08-01,514.93,135.010
1978-09-01,502.99,132.890
1978-10-01,416.81,111.120
1978-11-01,428.37,114.690
1978-12-01,438.65,117.980
1979-01-01,463.65,125.820
1979-02-01,446.49,122.560
1979-03-01,475.13,131.760
1979-04-01,477.07,133.820
1979-05-01,462.60,131.420
1979-06-01,480.83,138.130
1979-07-01,486.60,141.330
1979-08-01,513.15,150.440
1979-09-01,506.03,149.980
1979-10-01,453.62,135.530
1979-11-01,478.37,144.260
1979-12-01,496.04,151.140
1980-01-01,523.26,161.750
1980-02-01,504.12,158.030
1980-03-01,411.60,131.000
1980-04-01,435.09,139.990
1980-05-01,462.93,150.450
1980-06-01,480.28,157.780
1980-07-01,522.99,171.810
1980-08-01,548.55,181.520
1980-09-01,562.72,187.760
1980-10-01,572.17,192.780
1980-11-01,612.79,208.150
1980-12-01,590.23,202.340
1981-01-01,572.26,197.810
1981-02-01,567.10,198.010
1981-03-01,597.75,210.180
1981-04-01,612.29,216.740
1981-05-01,626.39,223.470
1981-06-01,599.35,215.750
1981-07-01,581.56,211.630
1981-08-01,533.81,195.750
1981-09-01,486.26,180.030
1981-10-01,526.17,195.240
1981-11-01,540.88,201.370
1981-12-01,524.46,195.840
1982-01-01,502.81,188.390
1982-02-01,477.46,179.430
1982-03-01,467.93,175.650
1982-04-01,489.82,184.700
1982-05-01,469.02,178.540
1982-06-01,444.52,171.300
1982-07-01,432.10,167.350
1982-08-01,457.78,177.710
1982-09-01,482.45,187.650
1982-10-01,544.97,212.630
1982-11-01,596.57,232.310
1982-12-01,599.39,232.410
1983-01-01,639.25,248.350
1983-02-01,670.18,260.670
1983-03-01,696.23,270.800
1983-04-01,748.18,293.060
1983-05-01,783.25,308.730
1983-06-01,806.31,318.700
1983-07-01,765.98,303.960
1983-08-01,734.56,292.420
1983-09-01,741.63,296.650
1983-10-01,684.18,274.550
1983-11-01,710.46,285.670
1983-12-01,692.32,278.600
1984-01-01,663.02,268.430
1984-02-01,620.82,252.570
1984-03-01,615.16,250.780
1984-04-01,604.00,247.440
1984-05-01,566.68,232.820
1984-06-01,581.63,239.650
1984-07-01,555.41,229.700
1984-08-01,613.43,254.640
1984-09-01,599.11,249.940
1984-10-01,590.33,247.000
1984-11-01,579.34,242.400
1984-12-01,590.57,247.100
